location_no;location;municipality;province;region;country
4;Aagtekerke;Aagtekerke;Zeeland;;Nederland
5;Aalburg;Aalburg;Noord-Brabant;;Nederland
7;Aalsmeer;Aalsmeer;Noord-Holland;;Nederland
10;Brakel;Brakel;Gelderland;;Nederland
12;Aalst;Aalst (NB);Noord-Brabant;;Nederland
14;Aalsum;Oostdongeradeel;Friesland;;Nederland
15;Aalten;Aalten;Gelderland;;Nederland
16;Aalter;;;Gent;België
17;Aardenburg;Aardenburg;Zeeland;;Nederland
18;Aardswoud;Hoogwoud;Noord-Holland;;Nederland
19;Aarlanderveen;Aarlanderveen;Zuid-Holland;;Nederland
20;Aarle-Rixtel;Aarle-Rixtel;Noord-Brabant;;Nederland
21;Aarschot;;;;België
25;Abbekerk;Abbekerk;Noord-Holland;;Nederland
26;Abbenbroek;Abbenbroek;Zuid-Holland;;Nederland
27;Abcoude;Abcoude;Utrecht;;Nederland
28;Abcoude-Baambrugge;Abcoude-Baambrugge;Utrecht;;Nederland
29;Abcoude-Proostdij;Abcoude-Proostdij;Utrecht;;Nederland
37;Achtkarspelen;Achtkarspelen;Friesland;;Nederland
39;Achttienhoven;Achttienhoven (UT);Utrecht;;Nederland
43;Adegem;;;;België
44;Adinkerke;;;;België
48;Adorp;Adorp;Groningen;;Nederland
49;Aduard;Aduard;Groningen;;Nederland
51;Aengwirden;Aengwirden;Friesland;;Nederland
55;Ahaus;;;;Duitsland
56;Aachen;;;;Duitsland
57;Aachen;;;;Pruissen
58;Akersloot;Akersloot;Noord-Holland;;Nederland
59;Akkerwoude;Dantumadeel;Friesland;;Nederland
61;Akkrum;Utingeradeel;Friesland;;Nederland
66;Alblasserdam;Alblasserdam;Zuid-Holland;;Nederland
70;Alem;Alem, Maren en Kessel;Noord-Brabant;;Nederland
71;Alem, Maren en Kessel;Alem, Maren en Kessel;Noord-Brabant;;Nederland
75;Algiers;;;;Algerije
77;Alkemade;Alkemade;Zuid-Holland;;Nederland
79;Alkmaar;Alkmaar;Noord-Holland;;Nederland
83;Almelo;Almelo;Overijssel;;Nederland
84;Almelo Ambt;Almelo Ambt;Overijssel;;Nederland
85;Almelo Stad;Almelo Stad;Overijssel;;Nederland
87;Almenum;Barradeel;Friesland;;Nederland
91;Almkerk;Almkerk;Noord-Brabant;;Nederland
96;Alphen;Alphen (ZH);Zuid-Holland;;Nederland
97;Alphen aan den Rijn;Alphen aan den Rijn;Zuid-Holland;;Nederland
98;Alphen en Riel;Alphen en Riel;Noord-Brabant;;Nederland
104;Altendorf;;;;Duitsland
106;Altenessen;;;;Duitsland
111;Altona;;;;Duitsland
114;Ambarawa;;;;N.O. Indië
115;Ambon;;;;N.O. Indië
116;Amby;Amby;Limburg;;Nederland
117;Ameide;Ameide;Zuid-Holland;;Nederland
118;Ameland;Ameland;Friesland;;Nederland
121;Amerongen;Amerongen;Utrecht;;Nederland
122;Amersfoort;Amersfoort;Utrecht;;Nederland
124;Ammerstol;Ammerstol;Zuid-Holland;;Nederland
125;Ammerzoden;Ammerzoden;Gelderland;;Nederland
127;Amstelveen;Nieuwer-Amstel;Noord-Holland;;Nederland
128;Amstenrade;Amstenrade;Limburg;;Nederland
129;Amsterdam;Amsterdam;Noord-Holland;;Nederland
131;Andel;Andel;Noord-Brabant;;Nederland
133;Anderlecht;;;Brussel;België
135;Andijk;Andijk;Noord-Holland;;Nederland
137;Angerlo;Angerlo;Gelderland;;Nederland
138;Angleur;;;;België
142;Ankeveen;Ankeveen;Noord-Holland;;Nederland
