location_no;location;municipality;province;region;country
144;Anloo;Anloo;Drenthe;;Nederland
145;Anna Paulowna;Anna Paulowna;Noord-Holland;;Nederland
150;Antwerpen;;;;België
151;Apeldoorn;Apeldoorn;Gelderland;;Nederland
153;Appeldorn;;;;Duitsland
155;Appels;;;Dendermonde;België
156;Appelscha;Ooststellingwerf;Friesland;;Nederland
157;Appeltern;Appeltern;Gelderland;;Nederland
158;Appingedam;Appingedam;Groningen;;Nederland
160;Arcen en Velden;Arcen en Velden;Limburg;;Nederland
161;Arendonk;;;;België
166;Arnemuiden;Arnemuiden;Zeeland;;Nederland
167;Arnhem;Arnhem;Gelderland;;Nederland
171;Arum;Wonseradeel;Friesland;;Nederland
177;Asperen;Asperen;Zuid-Holland;;Nederland
180;Assen;Assen;Drenthe;;Nederland
181;Assendelft;Assendelft;Noord-Holland;;Nederland
182;Assenede;;;;België
183;Asten;Asten;Noord-Brabant;;Nederland
184;Atjeh;;;;N.O. Indië
185;Aubel;;;Verviers;België
189;Augsbuurt;Kollumerland en Nieuwkruisland;Friesland;;Nederland
197;Avenhorn;Avenhorn;Noord-Holland;;Nederland
198;Avereest;Avereest;Overijssel;;Nederland
201;Axel;Axel;Zeeland;;Nederland
205;Baard;Baarderadeel;Friesland;;Nederland
206;Baarderadeel;Baarderadeel;Friesland;;Nederland
207;Baardwijk;Baardwijk;Noord-Brabant;;Nederland
208;Baarland;Baarland;Zeeland;;Nederland
209;Baarle-Hertog;;;;België
210;Baarle-Nassau;Baarle-Nassau;Noord-Brabant;;Nederland
213;Baarn;Baarn;Utrecht;;Nederland
214;Baarsdorp;Heer Abtskerke 's-;Zeeland;;Nederland
221;Bad Pyrmont;;;;Duitsland
222;Baden;;;;Duitsland
225;Baexem;Baexem;Limburg;;Nederland
226;Baflo;Baflo;Groningen;;Nederland
230;Bakel;Bakel en Milheeze;Noord-Brabant;;Nederland
231;Bakel en Milheeze;Bakel en Milheeze;Noord-Brabant;;Nederland
241;Balk;Gaasterland;Friesland;;Nederland
243;Ballum;Ameland;Friesland;;Nederland
245;Baltimore;;;;Verenigde Staten
251;Bandjermassin;;;;N.O. Indië
252;Bandoeng;;;;N.O. Indië
258;Banka;;;;N.O. Indië
263;Barendrecht;Barendrecht;Zuid-Holland;;Nederland
269;Barmen;;;;Duitsland
271;Barneveld;Barneveld;Gelderland;;Nederland
272;Barradeel;Barradeel;Friesland;;Nederland
273;Barsingerhorn;Barsingerhorn;Noord-Holland;;Nederland
275;Barwoutswaarder;Barwoutswaarder;Zuid-Holland;;Nederland
276;Basel;;;;Zwitserland
277;Bassevelde;;;;België
278;Batavia;;;;N.O. Indië
279;Batenburg;Batenburg;Gelderland;;Nederland
280;Bath;Bath;Zeeland;;Nederland
284;Bathmen;Bathmen;Overijssel;;Nederland
288;Baumbach;;;;Duitsland
289;Bavel;Ginneken en Bavel;Noord-Brabant;;Nederland
293;Bedum;Bedum;Groningen;;Nederland
294;Beeck;;;Ruhrort;Duitsland
295;Beegden;Beegden;Limburg;;Nederland
298;Beek;Beek (Ge);Gelderland;;Nederland
299;Beek;Beek (LI);Limburg;;Nederland
300;Beek;Beek (NB);Noord-Brabant;;Nederland
301;Beek en Donk;Beek en Donk;Noord-Brabant;;Nederland
302;Beekbergen;Apeldoorn;Gelderland;;Nederland
305;Beemster;Beemster;Noord-Holland;;Nederland
309;Beers;Beers;Noord-Brabant;;Nederland
311;Beerta;Beerta;Groningen;;Nederland
312;Beesd;Beesd;Gelderland;;Nederland
313;Beesel;Beesel;Limburg;;Nederland
314;Beetgum;Menaldumadeel;Friesland;;Nederland
317;Beetsterzwaag;Opsterland;Friesland;;Nederland
318;Beilen;Beilen;Drenthe;;Nederland
320;Belfast;;;;Ierland
321;Belfeld;Belfeld;Limburg;;Nederland
325;Bellingwolde;Bellingwolde;Groningen;;Nederland
326;Belsele;;;Sint Niklaas;België
329;Bemmel;Bemmel;Gelderland;;Nederland
331;Benedenknijpe;Schoterland;Friesland;;Nederland
334;Bennebroek;Bennebroek;Noord-Holland;;Nederland
336;Bennekom;Ede (Ge);Gelderland;;Nederland
339;Benschop;Benschop;Utrecht;;Nederland
340;Bentheim;;;;Duitsland
341;Benthuizen;Benthuizen;Zuid-Holland;;Nederland
343;Berchem;;;Antwerpen;België
345;Berendrecht;;;Antwerpen;België
349;Berg en Terblijt;Berg en Terblijt;Limburg;;Nederland
350;Bergambacht;Bergambacht;Zuid-Holland;;Nederland
352;Bergeijk;Bergeijk;Noord-Brabant;;Nederland
353;Bergen;;;;België
354;Bergen;;;;Noorwegen
358;Bergen;Bergen (NH);Noord-Holland;;Nederland
361;Bergen op Zoom;Bergen op Zoom;Noord-Brabant;;Nederland
363;Bergh;Bergh;Gelderland;;Nederland
364;Bergharen;Bergharen;Gelderland;;Nederland
370;Bergschenhoek;Bergschenhoek;Zuid-Holland;;Nederland
371;Bergum;Tietjerksteradeel;Friesland;;Nederland
375;Berkel;Berkel-Enschot;Noord-Brabant;;Nederland
376;Berkel en Rodenrijs;Berkel en Rodenrijs;Zuid-Holland;;Nederland
380;Berkenwoude;Berkenwoude;Zuid-Holland;;Nederland
381;Berkhout;Berkhout;Noord-Holland;;Nederland
383;Berlare;;;Dendermonde;België
384;Berlicum;Berlicum (NB);Noord-Brabant;;Nederland
385;Berlin;;;;Duitsland
387;Berlikum;Menaldumadeel;Friesland;;Nederland
388;Bern;;;;Zwitserland
392;Besoijen;Besoijen;Noord-Brabant;;Nederland
393;Best;Best;Noord-Brabant;;Nederland
396;Betterwird;Westdongeradeel;Friesland;;Nederland
399;Beuningen;Beuningen;Gelderland;;Nederland
400;Beusichem;Beusichem;Gelderland;;Nederland
402;Beveren;;;;België
403;Beverwijk;Beverwijk;Noord-Holland;;Nederland
406;Biebrich;;;;Duitsland
409;Bielefeld;;;;Duitsland
412;Bierum;Bierum;Groningen;;Nederland
413;Biervliet;Biervliet;Zeeland;;Nederland
414;Biezelinge;Kapelle;Zeeland;;Nederland
415;Biggekerke;Biggekerke;Zeeland;;Nederland
423;Birdaard;Dantumadeel;Friesland;;Nederland
425;Birmingham;;;;Groot-Brittannië
427;Bislich;;;Wesel;Duitsland
429;Bladel;Bladel en Netersel;Noord-Brabant;;Nederland
430;Bladel en Netersel;Bladel en Netersel;Noord-Brabant;;Nederland
431;Blankenberghe;;;;België
432;Blankenham;Blankenham;Overijssel;;Nederland
433;Blankenstein;;;;Duitsland
434;Blaricum;Blaricum;Noord-Holland;;Nederland
438;Bleiswijk;Bleiswijk;Zuid-Holland;;Nederland
439;Blerick;Maasbree;Limburg;;Nederland
443;Bleskensgraaf;Bleskensgraaf en Hofwegen;Zuid-Holland;;Nederland
444;Bleskensgraaf en Hofwegen;Bleskensgraaf en Hofwegen;Zuid-Holland;;Nederland
446;Blija;Ferwerderadeel;Friesland;;Nederland
450;Bloemendaal;Bloemendaal (NH);Noord-Holland;;Nederland
451;Blokker;Blokker;Noord-Holland;;Nederland
452;Blokzijl;Blokzijl;Overijssel;;Nederland
453;Blomberg;;;;Duitsland
456;Bocholt;;;;Duitsland
460;Bochum;;;;Duitsland
464;Bodegraven;Bodegraven;Zuid-Holland;;Nederland
467;Budapest;;;;Hongarije
470;Boekel;Boekel;Noord-Brabant;;Nederland
471;Boekhoute;;;;België
476;Boisheim;;;Viersen;Pruissen
477;Bokhoven;Bokhoven;Noord-Brabant;;Nederland
481;Bolsward;Bolsward;Friesland;;Nederland
484;Bommenede;Bommenede;Zeeland;;Nederland
485;Bommenede;Zonnemaire;Zeeland;;Nederland
487;Bonn;;;;Duitsland
488;Bonn;;;;Pruissen
490;Boom;;;Antwerpen;België
495;Borbeck;;;;Duitsland
496;Borbeck;;;;Pruissen
497;Borculo;Borculo;Gelderland;;Nederland
499;Bordeaux;;;;Frankrijk
501;Borger;Borger;Drenthe;;Nederland
502;Borgerhout;;;;België
504;Borgharen;Borgharen;Limburg;;Nederland
514;Borkel en Schaft;Borkel en Schaft;Noord-Brabant;;Nederland
517;Born;Born;Limburg;;Nederland
518;Borne;Borne;Overijssel;;Nederland
519;Breslau;;;;Duitsland
521;Bornhem;;;;België
524;Borssele;Borssele;Zeeland;;Nederland
527;Boschkapelle;Boschkapelle;Zeeland;;Nederland
529;Boskoop;Boskoop;Zuid-Holland;;Nederland
530;Bossevelde;;;;België
531;Boston;;;;Verenigde Staten
532;Bottrop;;;;Duitsland
533;Bouchaut;;;Antwerpen;België
534;Bouillon;;;;België
535;Boulogne sur Mer;;;;Frankrijk
536;Bourbourg;;;;Frankrijk
538;Bourtange;Vlagtwedde;Groningen;;Nederland
541;Bovenkarspel;Bovenkarspel;Noord-Holland;;Nederland
544;Boxmeer;Boxmeer;Noord-Brabant;;Nederland
545;Boxtel;Boxtel;Noord-Brabant;;Nederland
546;Bozum;Baarderadeel;Friesland;;Nederland
550;Brandwijk;Brandwijk;Zuid-Holland;;Nederland
554;Brasschaat;;;;België
555;Braunbauer;;;;Duitsland
556;Braunschweig;;;;Duitsland
558;Breda;Breda;Noord-Brabant;;Nederland
559;Bredene;;;;België
561;Bredevoort;Aalten;Gelderland;;Nederland
564;Bremen;;;;Duitsland
565;Bremerhaven;;;;Duitsland
566;Breskens;Breskens;Zeeland;;Nederland
567;Breslau;;;;Duitsland
571;Breukelen;Breukelen;Utrecht;;Nederland
572;Breukelen-Nijenrode;Breukelen-Nijenrode;Utrecht;;Nederland
573;Breukelen-Sint Pieters;Breukelen-Sint Pieters;Utrecht;;Nederland
574;Breyell;;;;Duitsland
577;Brielle;Brielle;Zuid-Holland;;Nederland
578;Brigdamme;Middelburg (Ze);Zeeland;;Nederland
582;Brione;;;;Zwitserland
584;Britswerd;Baarderadeel;Friesland;;Nederland
587;Broek;Doniawerstal;Friesland;;Nederland
589;Broek;Broek (ZH);Zuid-Holland;;Nederland
590;Broek in Waterland;Broek in Waterland;Noord-Holland;;Nederland
591;Broek op Langendijk;Broek op Langendijk;Noord-Holland;;Nederland
595;Broeksittard;Sittard;Limburg;;Nederland
597;Brooklyn;;;New York;Verenigde Staten
598;Brouwershaven;Brouwershaven;Zeeland;;Nederland
599;Bruchem;Kerkwijk;Gelderland;;Nederland
604;Brugge;;;;België
605;Bruggen;;;;Duitsland
608;Bruinisse;Bruinisse;Zeeland;;Nederland
610;Brummen;Brummen;Gelderland;;Nederland
611;Brunssum;Brunssum;Limburg;;Nederland
613;Brussel;;;;België
618;Buchenwald;;;;Duitsland
624;Budel;Budel;Noord-Brabant;;Nederland
628;Buer;;;;Duitsland
629;Buer;;;;Pruissen
630;Buggenum;Buggenum;Limburg;;Nederland
631;Buiksloot;Buiksloot;Noord-Holland;;Nederland
633;Buitenpost;Achtkarspelen;Friesland;;Nederland
634;De Knijpe;Schoterland;Friesland;;Nederland
635;Buitenzorg;;;;N.O. Indië
640;Bunde;;;Bunde;Pruissen
642;Bunnik;Bunnik;Utrecht;;Nederland
643;Bunschoten;Bunschoten;Utrecht;;Nederland
649;Buren;Buren;Gelderland;;Nederland
652;Burgh;Burgh;Zeeland;;Nederland
653;Burghsluis;Burgh;Zeeland;;Nederland
654;Burght;;;Zwijndrecht;België
656;Burgwerd;Wonseradeel;Friesland;;Nederland
659;Burtscheid;;;;Duitsland
660;Burtscheid;;;;Pruissen
661;Burum;Kollumerland en Nieuwkruisland;Friesland;;Nederland
662;Buschhausen;;;;Duitsland
663;Bussum;Bussum;Noord-Holland;;Nederland
664;Buttinge;Grijpskerke;Zeeland;;Nederland
666;Buurmalsen;Buurmalsen;Gelderland;;Nederland
673;Cadier en Keer;Cadier en Keer;Limburg;;Nederland
674;Cadzand;Cadzand;Zeeland;;Nederland
677;Calais;;;;Frankrijk
678;Calcutta;;;;India
681;Callantsoog;Callantsoog;Noord-Holland;;Nederland
689;Capelle;Capelle;Noord-Brabant;;Nederland
690;Capelle aan den Ijssel;Capelle aan den IJssel;Zuid-Holland;;Nederland
691;Cardiff;;;;Groot-Brittannië
693;Casteren;Bladel;Noord-Brabant;;Nederland
696;Castricum;Castricum;Noord-Holland;;Nederland
697;Castrop Rauxel;;;;Duitsland
699;Celle;;;;Duitsland
701;Chaam;Chaam;Noord-Brabant;;Nederland
704;Charleroi;;;;België
705;Charlois;Charlois;Zuid-Holland;;Nederland
707;Chemnitz;;;;Duitsland
709;Cheribon;;;;N.O. Indië
712;Chicago;;;;Verenigde Staten
721;Clinge;Clinge;Zeeland;;Nederland
722;Cloppenburg;;;;Duitsland
723;Coburg;;;;Duitsland
727;Coevorden;Coevorden;Drenthe;;Nederland
729;Colijnsplaat;Colijnsplaat;Zeeland;;Nederland
739;Damme;;;Brugge;België
740;Cothen;Cothen;Utrecht;;Nederland
745;Cromvoirt;Cromvoirt;Noord-Brabant;;Nederland
750;Cuijk;Cuijk en Sint Agatha;Noord-Brabant;;Nederland
751;Cuijk en Sint Agatha;Cuijk en Sint Agatha;Noord-Brabant;;Nederland
752;Culemborg;Culemborg;Gelderland;;Nederland
759;Dalem;Vuren;Gelderland;;Nederland
760;Dalen;Dalen;Drenthe;;Nederland
762;Dalfsen;Dalfsen;Overijssel;;Nederland
763;Damme;;;Brugge;België
766;Dantumadeel;Dantumadeel;Friesland;;Nederland
768;Danzig;;;;Duitsland
770;Darmstadt;;;;Duitsland
773;Davos;;;;Zwitserland
774;De Bilt;De Bilt;Utrecht;;Nederland
778;De Klinge;;;;België
782;De Lier;De Lier;Zuid-Holland;;Nederland
785;De Mijl;Dubbeldam;Zuid-Holland;;Nederland
789;De Rijp;De Rijp;Noord-Holland;;Nederland
797;De Werken;De Werken en Sleeuwijk;Noord-Brabant;;Nederland
798;De Werken en Sleeuwijk;De Werken en Sleeuwijk;Noord-Brabant;;Nederland
799;De Wijk;De Wijk;Drenthe;;Nederland
806;Deil;Deil;Gelderland;;Nederland
810;Delden;Delden;Overijssel;;Nederland
811;Delden Ambt;Delden Ambt;Overijssel;;Nederland
812;Delden Stad;Delden Stad;Overijssel;;Nederland
815;Delfshaven;Rotterdam;Zuid-Holland;;Nederland
818;Delft;Delft;Zuid-Holland;;Nederland
819;Delfzijl;Delfzijl;Groningen;;Nederland
822;Den Bommel;Den Bommel;Zuid-Holland;;Nederland
825;Den Dungen;Den Dungen;Noord-Brabant;;Nederland
826;Den Ham;Den Ham;Overijssel;;Nederland
827;Den Helder;Den Helder;Noord-Holland;;Nederland
831;Dendermonde;;;;België
832;Denekamp;Denekamp;Overijssel;;Nederland
839;Deurne;;;Antwerpen;België
840;Deurne en Liessel;Deurne en Liessel;Noord-Brabant;;Nederland
842;Deursen;Deursen en Dennenburg;Noord-Brabant;;Nederland
843;Deursen en Dennenburg;Deursen en Dennenburg;Noord-Brabant;;Nederland
844;Deventer;Deventer;Overijssel;;Nederland
846;Didam;Didam;Gelderland;;Nederland
847;Dieden;Dieden, Demen en Langel;Noord-Brabant;;Nederland
850;Diemen;Diemen;Noord-Holland;;Nederland
853;Diepenheim;Diepenheim;Overijssel;;Nederland
854;Diepenveen;Diepenveen;Overijssel;;Nederland
856;Dieren;Rheden;Gelderland;;Nederland
857;Diessen;Diessen;Noord-Brabant;;Nederland
858;Diever;Diever;Drenthe;;Nederland
865;Dilsen;;;Dilsen-Stokkem;België
866;Dinant;;;;België
871;Dinslaken;;;Wesel;Duitsland
873;Dinteloord;Dinteloord en Prinsenland;Noord-Brabant;;Nederland
874;Dinteloord en Prinsenland;Dinteloord en Prinsenland;Noord-Brabant;;Nederland
875;Dinther;Dinther;Noord-Brabant;;Nederland
876;Dinxperlo;Dinxperlo;Gelderland;;Nederland
877;Dirksland;Dirksland;Zuid-Holland;;Nederland
879;Djakarta;;;;Indonesië
885;Djokjakarta;;;;N.O. Indië
888;Dodewaard;Dodewaard;Gelderland;;Nederland
889;Doel;;;;België
890;Doesburg;Doesburg;Gelderland;;Nederland
891;Doetinchem;Doetinchem;Gelderland;;Nederland
892;Doetinchem Ambt;Doetinchem Ambt;Gelderland;;Nederland
893;Doetinchem Stad;Doetinchem Stad;Gelderland;;Nederland
899;Dokkum;Dokkum;Friesland;;Nederland
902;Domburg;Domburg;Zeeland;;Nederland
904;Dongen;Dongen;Noord-Brabant;;Nederland
908;Doniawerstal;Doniawerstal;Friesland;;Nederland
909;Donkerbroek;Ooststellingwerf;Friesland;;Nederland
912;Doorn;Doorn;Utrecht;;Nederland
914;Doornik;;;;België
915;Doornspijk;Doornspijk;Gelderland;;Nederland
917;Doorwerth;Renkum;Gelderland;;Nederland
918;Dordrecht;Dordrecht;Zuid-Holland;;Nederland
920;Dornberg;;;;Pruissen
924;Dortmund;;;;Duitsland
929;Drachten;Smallingerland;Friesland;;Nederland
933;Dreischor;Dreischor;Zeeland;;Nederland
934;Drempt;Hummelo en Keppel;Gelderland;;Nederland
935;Dresden;;;;Duitsland
936;Dreumel;Dreumel;Gelderland;;Nederland
937;Driebergen;Driebergen;Utrecht;;Nederland
938;Driebergen-Rijsenburg;Driebergen-Rijsenburg;Utrecht;;Nederland
944;Driel;Heteren;Gelderland;;Nederland
946;Driesum;Dantumadeel;Friesland;;Nederland
947;Driewegen;Driewegen;Zeeland;;Nederland
948;Drimmelen;Drimmelen;Noord-Brabant;;Nederland
951;Drongelen;Drongelen;Noord-Brabant;;Nederland
954;Dronrijp;Menaldumadeel;Friesland;;Nederland
956;Drumpt;Wadenoijen;Gelderland;;Nederland
957;Drunen;Drunen;Noord-Brabant;;Nederland
958;Druten;Druten;Gelderland;;Nederland
959;Dubbeldam;Dubbeldam;Zuid-Holland;;Nederland
960;Dublin;;;;Ierland
964;Dudzele;;;Brugge;België
965;Duffel;;;;België
966;Duisburg;;;;Duitsland
967;Duisburg;;;;Pruissen
970;Duisburg-Ruhrort;;;;Duitsland
971;Duiveland;Duiveland;Zeeland;;Nederland
972;Duiven;Duiven;Gelderland;;Nederland
973;Duivendijke;Duivendijke;Zeeland;;Nederland
983;Duren;;;;Duitsland
984;Durgerdam;Durgerdam;Noord-Holland;;Nederland
986;Düsseldorf;;;;Duitsland
987;Düsseldorf;;;;Pruissen
988;Dussen;Dussen;Noord-Brabant;;Nederland
990;Dwingeloo;Dwingeloo;Drenthe;;Nederland
994;Echteld;Echteld;Gelderland;;Nederland
1003;Edam;Edam;Noord-Holland;;Nederland
1006;Ede;Ede (Ge);Gelderland;;Nederland
1007;Edegem;;;Antwerpen;België
1014;Edmonton;;;;Canada
1016;Eede;Eede (Ze);Zeeland;;Nederland
1019;Eeklo;;;;België
1022;Eelde;Eelde;Drenthe;;Nederland
1023;Eemnes;Eemnes;Utrecht;;Nederland
1027;Eenrum;Eenrum;Groningen;;Nederland
1029;Eernewoude;Tietjerksteradeel;Friesland;;Nederland
1030;Eersel;Eersel;Noord-Brabant;;Nederland
1036;Eestrum;Tietjerksteradeel;Friesland;;Nederland
1038;Eethen;Eethen;Noord-Brabant;;Nederland
1042;Egmond;Egmond;Noord-Holland;;Nederland
1044;Egmond aan Zee;Egmond aan Zee;Noord-Holland;;Nederland
1045;Egmond-Binnen;Egmond-Binnen;Noord-Holland;;Nederland
1049;Eibergen;Eibergen;Gelderland;;Nederland
1052;Eijgelshoven;Eijgelshoven;Limburg;;Nederland
1053;Eijsden;Eijsden;Limburg;;Nederland
1056;Eindhoven;Eindhoven;Noord-Brabant;;Nederland
1063;Ekeren;;;Antwerpen;België
1066;Elberfeld;;;;Duitsland
1067;Elberfeld;;;;Pruissen
1068;Elburg;Elburg;Gelderland;;Nederland
1069;Elshout;Drunen;Noord-Brabant;;Nederland
1071;Elden;Elst;Gelderland;;Nederland
1072;Elkerzee;Elkerzee;Zeeland;;Nederland
1074;Ellecom;Rheden;Gelderland;;Nederland
1075;Ellemeet;Ellemeet;Zeeland;;Nederland
1078;Ellewoutsdijk;Ellewoutsdijk;Zeeland;;Nederland
1083;Elsene;;;Brussel;België
1087;Elsloo;Elsloo;Limburg;;Nederland
1089;Elspeet;Ermelo;Gelderland;;Nederland
1090;Elst;Elst;Gelderland;;Nederland
1096;Elten;;;Elten;Pruissen
1098;Elten;Elten;Gelderland;;Nederland
1100;Elversele;;;Temse;België
1102;Emden;;;;Duitsland
1103;Emden;;;;Pruissen
1113;Emmerich;;;;Duitsland
1114;Emmerich;;;;Pruissen
1116;Emmikhoven;Almkerk;Noord-Brabant;;Nederland
1118;Empel;Empel en Meerwijk;Noord-Brabant;;Nederland
1119;Empel en Meerwijk;Empel en Meerwijk;Noord-Brabant;;Nederland
1126;Engelen;Engelen;Noord-Brabant;;Nederland
1133;Engwierum;Oostdongeradeel;Friesland;;Nederland
1134;Enkhuizen;Enkhuizen;Noord-Holland;;Nederland
1136;Enschede;Enschede;Overijssel;;Nederland
1144;Epe;Epe;Gelderland;;Nederland
1149;Erfurt;;;;Duitsland
1152;Erichem;Buren;Gelderland;;Nederland
1159;Ermelo;Ermelo;Gelderland;;Nederland
1160;Erp;Erp;Noord-Brabant;;Nederland
1163;Ertvelde;;;;België
1165;Esch;Esch;Noord-Brabant;;Nederland
1166;Escharen;Escharen;Noord-Brabant;;Nederland
1172;Eschweiler;;;;Duitsland
1174;Essen;;;;België
1175;Essen;;;;Duitsland
1177;Essen;;;;Pruissen
1181;Est en Opijnen;Est en Opijnen;Gelderland;;Nederland
1182;Etten;Etten en Leur;Noord-Brabant;;Nederland
1183;Etten en Leur;Etten en Leur;Noord-Brabant;;Nederland
1184;Etterbeek;;;;België
1187;Euskirchen;;;;Duitsland
1188;Everdingen;Everdingen;Zuid-Holland;;Nederland
1189;Evergem;;;;België
1190;Eversdijk;Eversdijk;Zeeland;;Nederland
1191;Ewijk;Ewijk;Gelderland;;Nederland
1192;Exaarde;;;;België
1194;Exloo;Odoorn;Drenthe;;Nederland
1196;Ezinge;Ezinge;Groningen;;Nederland
1198;Fanna;;;;Oostenrijk
1199;Farmsum;Delfzijl;Groningen;;Nederland
1202;Ferwerd;Ferwerderadeel;Friesland;;Nederland
1203;Ferwerderadeel;Ferwerderadeel;Friesland;;Nederland
1205;Fijnaart;Fijnaart en Heijningen;Noord-Brabant;;Nederland
1206;Fijnaart en Heijningen;Fijnaart en Heijningen;Noord-Brabant;;Nederland
1208;Finsterwolde;Finsterwolde;Groningen;;Nederland
1210;Flensburg;;;;Duitsland
1212;Follega;Lemsterland;Friesland;;Nederland
1219;Fort Bath;Rilland-Bath;Zeeland;;Nederland
1228;Franeker;Franeker;Friesland;;Nederland
1230;Franekeradeel;Franekeradeel;Friesland;;Nederland
1231;Frankfurt;;;;Duitsland
1232;Frankfurt am Main;;;;Duitsland
1241;Friedberg;;;;Duitsland
1247;Gaasterland;Gaasterland;Friesland;;Nederland
1252;Gameren;Gameren;Gelderland;;Nederland
1254;Gendringen;Gendringen;Gelderland;;Nederland
1255;Gapinge;Vrouwenpolder;Zeeland;;Nederland
1257;Garijp;Tietjerksteradeel;Friesland;;Nederland
1259;Garnwerd;Ezinge;Groningen;;Nederland
1263;Gassel;Gassel;Noord-Brabant;;Nederland
1264;Gasselte;Gasselte;Drenthe;;Nederland
1265;Gastel;Soerendonk, Sterksel en Gastel;Noord-Brabant;;Nederland
1268;Geel;;;;België
1270;Geertruidenberg;Geertruidenberg;Noord-Brabant;;Nederland
1271;Geervliet;Geervliet;Zuid-Holland;;Nederland
1275;Geffen;Geffen;Noord-Brabant;;Nederland
1277;Geldermalsen;Geldermalsen;Gelderland;;Nederland
1278;Geldern;;;;Duitsland
1279;Geldern;;;;Pruissen
1280;Geldrop;Geldrop;Noord-Brabant;;Nederland
1281;Geleen;Geleen;Limburg;;Nederland
1282;Gelsenkirchen;;;;Duitsland
1283;Gelsenkirchen;;;;Pruissen
1285;Gemert;Gemert;Noord-Brabant;;Nederland
1289;Genderen;Heesbeen, Eethen en Genderen;Noord-Brabant;;Nederland
1291;Gendt;Gendt;Gelderland;;Nederland
1292;Genemuiden;Genemuiden;Overijssel;;Nederland
1293;Geneve;;;;Zwitserland
1294;Genk;;;;België
1295;Gennep;Gennep;Limburg;;Nederland
1296;Gent;;;;België
1298;Genua;;;;Italië
1302;Geraardsbergen;;;;België
1306;Gernsheim;;;;Duitsland
1313;Gescher;;;;Pruissen
1314;Gestel;Eindhoven;Noord-Brabant;;Nederland
1315;Giessen;Giessen;Noord-Brabant;;Nederland
