country,synonym,synonym_type
abkh,Abkhaz,denonym
abkh,Abkhazian,denonym
abw,Aruban,denonym
afg,Afghan,denonym
afg,Islamic Republic of Afghanistan,name
ago,Angolan,denonym
aia,Anguillan,denonym
ala,Åland Island,name
alb,Albanian,denonym
and,Andorran,denonym
ant,Neth. Antilles,name
are,Emirati,denonym
are,Emiri,denonym
are,Emirian,denonym
are,UAE,name
arg,Argentine,denonym
arg,Argentinian,denonym
arm,Armenian,denonym
asm,American Samoan,denonym
ata,Antarctic,denonym
atg,Antiguan,denonym
atg,Barbudan,denonym
aus,Australia and territories,name
aus,Australian,denonym
aut,Austrian,denonym
aze,Azerbaijani,denonym
sxm,Sint Maarten (Dutch part),name
aze,Azeri,denonym
bdi,Burundian,denonym
bel,Belgian,denonym
ben,Beninese,denonym
ben,Beninois,denonym
bfa,Burkinabe,denonym
bfa,Burkinabé,denonym
bgd,Bangladeshi,denonym
bgr,Bulgarian,denonym
bhr,Bahraini,denonym
bhr,Bahrein,name
bhs,"Bahamas, The",name
bhs,Bahamian,denonym
bhs,The Bahamas,name
bih,Bosnia & Herzegovina,name
bih,Bosnia Herzegovena,name
bih,Bosnia and H.,name
bih,Bosnia,name
bih,Bosnia-Herzegovina,name
bih,Bosnian,denonym
bih,Herzegovinian,denonym
blr,Belarusian,denonym
blz,Belizean,denonym
bmu,Bermudan,denonym
bmu,Bermudian,denonym
bol,Bolivia (Plurinational State of),name
bol,Bolivia Plurinational States of,name
bol,Bolivian,denonym
bol,PLURINATIONAL STATE OF BOLIVIA,name
bouisl,Bouvet Island,denonym
bra,Brazilian,denonym
brb,Barbadian,denonym
brn,Brunei Darussalam,name
brn,Bruneian,denonym
btn,Bhutanese,denonym
bwa,Botswanan,denonym
bwa,Eswatini,name
bwa,Motswana,denonym
caf,Cen African Rep,name
caf,Central AfR,name
caf,Central African Rep.,name
caf,Central African,denonym
can,Canadian,denonym
che,Swiss,denonym
chl,Chilean,denonym
chn,"China, mainland",name
chn,China (Mainland),name
chn,Chinese,denonym
chn,Mainland China,name
civ,Cote Divoire,name
civ,Cote d`Ivoire,name
civ,Côte d'Ivoire,name
civ,Côte d'Ivoire,name
civ,Côte d’Ivoire,name
civ,Ivorian,denonym
civ,Ivory Coast,name
cmr,Cameroonian,denonym
cod,"Congo, Democratic Republic of the",name
cod,"Congo, Democratic Republic of",name
cod,Congo (Democratic Republic of the),name
