topic,name,wikidata,slug,parent_topic,country
education,Education,Q8434,education,,
politics,Politics,Q7163,politics,,
democracy,Democracy,Q7174,democracy,Q7163,
corruption,Corruption,Q366,corruption,Q7163,
elections,Elections,Q40231,elections,Q7163,
ideologies,Ideologies,Q7257,ideologies,Q7163,
population,Population,Q2625603,population,,
population-growth,Population growth,Q386191,population-growth,Q2625603,
health,Health,Q12147,health,,
global-health,Global health,Q2725393,global-health,Q12147,
life-expectancy,Life expectancy,Q188419,life-expectancy,Q12147,
burden-of-disease,Burden of disease,Q5282120,burden-of-disease,Q12147,
causes-of-death,Causes of death,Q59029818,causes-of-death,Q12147,
malaria,Malaria,Q12156,malaria,Q12147,
hiv,HIV,Q15787,hiv,Q12147,
vaccination,Vaccination,Q192995,vaccination,Q12147,
cancer,Cancer,Q12078,cancer,Q12147,
smoking,Smoking,Q662860,smoking,Q12147,
alcohol-consumption,Alcohol consumption,Q2647488,alcohol-consumption,Q12147,
substance-abuse,Substance abuse,Q3184856,substance-abuse,Q12147,
mental-health,Mental health,Q317309,mental-health,Q12147,
suicide,Suicide,Q10737,suicide,Q12147,
accidents,Accidents,Q11190,accidents,Q12147,
medicine,Medicine,Q11190,medicine,Q12147,
psychology,Psychology,Q9418,psychology,,
global-development,Global development,Q2477868,global-development,,
global-goals,Global goals,Q7649586,global-goals,,
food,Food,Q2095,food,,
hunger,Hunger,Q165947,hunger,Q2095,
obesity,Obesity,Q12174,obesity,Q2095,
famine,Famine,Q168247,famine,Q2095,
food-prices,Food prices,Q24886253,food-prices,Q2095,
energy,Energy,Q11379,energy,,
energy-production,Energy production,Q3406659,energy-production,Q11379,
renewable-energy,Renewable energy,Q12705,renewable-energy,Q11379,
fossil-fuels,Fossil fuels,Q12748,fossil-fuels,Q11379,
electricity,Electricity,Q12725,electricity,Q11379,
metals-and-minerals,Metals and Minerals,Q7946,metals-and-minerals,Q11379,
environment,Environment,Q2249676,environment,,
climate-change,Climate change,Q125928,climate-change,Q2249676,
pollution,Pollution,Q58734,pollution,Q2249676,
natural-disasters,Natural disasters,Q8065,natural-disasters,Q2249676,
plastic-pollutiom,Plastic pollutiom,Q7202090,plastic-pollutiom,Q2249676,
animals,Animals,Q729,animals,Q2249676,
water,Water,Q283,water,,
water-use,Water use,Q26534,water-use,Q283,
science-and-technology,Science and technology,Q34104,science-and-technology,,
emerging-technologies,Emerging technologies,Q120208,emerging-technologies,Q34104,
synthetic-genomics,Synthetic genomics,Q1405450,synthetic-genomics,Q34104,
quantum-computing,Quantum computing,Q176555,quantum-computing,Q34104,
scientific-research,Scientific research,Q42240,scientific-research,Q34104,
patents,Patents,Q253623,patents,Q34104,
artificial-intelligence,Artificial intelligence,Q11660,artificial-intelligence,,
economy,Economy,Q159810,economy,,
economic-growth,Economic growth,Q189833,economic-growth,Q159810,
income-inequality,Income inequality,Q5055020,income-inequality,Q159810,
poverty,Poverty,Q10294,poverty,,
architecture,Architecture,Q12271,architecture,,
job-market,Job market,Q305186,job-market,,
media,Media,Q1727518,media,,
media-representation,Media representation,Q29585906,media-representation,Q1727518,
books,Books,Q571,books,Q1727518,
social-media,Social Media,Q202833,social-media,Q1727518,
internet,Internet,Q75,internet,,
eu,EU,Q458,eu,,
global-trade,Global trade,Q601401,global-trade,,
open-data,Open data,Q309901,open-data,,
cities,Cities,Q515,cities,,
urbanization,Urbanization,Q161078,urbanization,Q515,
homelessness,Homelessness,Q131327,homelessness,Q515,
public-sector,Public sector,Q294217,public-sector,,
taxation,Taxation,Q1964442,taxation,Q294217,
war-and-peace,War and peace,Q2051567,war-and-peace,,
war,War,Q198,war,Q2051567,
peacekeeping,Peacekeeping,Q10954043,peacekeeping,Q2051567,
terrorism,Terrorism,Q7283,terrorism,Q2051567,
