visa_requirement,name
visa_required,Visa required
electronic_entry_visa,Electronic Visa on entry
electronic_visa,Electronic visa
visa_on_arrival,Visa on arrival
visa_not_required,Visa not required
evisa_visa_on_arrival,E-Visa/Visa on arrival
visitor_permit_on_arrival,Visitor permit on arrival
tourist_card_required,Tourist card required
online_visa,Online Visa
entry_permit_on_arrival,Entry permit on arrival
