county,name,country
01,Stockholms län,swe
03,Uppsala län,swe
04,Södermanlands län,swe
05,Östergötlands län,swe
06,Jönköpings län,swe
07,Kronobergs län,swe
08,Kalmar län,swe
09,Gotlands län,swe
10,Blekinge län,swe
12,Skåne län,swe
13,Hallands län,swe
14,Västra Götalands län,swe
17,Värmlands län,swe
18,Örebro län,swe
19,Västmanlands län,swe
20,Dalarnas län,swe
21,Gävleborgs län,swe
22,Västernorrlands län,swe
23,Jämtlands län,swe
24,Västerbottens län,swe
25,Norrbottens län,swe
