municipality,name,country
1262,Lomma,swe
1263,Svedala,swe
1264,Skurup,swe
1265,Sjöbo,swe
1266,Hörby,swe
1267,Höör,swe
1270,Tomelilla,swe
1272,Bromölla,swe
1273,Osby,swe
1275,Perstorp,swe
1276,Klippan,swe
1277,Åstorp,swe
1278,Båstad,swe
1280,Malmö,swe
1281,Lund,swe
1282,Landskrona,swe
1283,Helsingborg,swe
1284,Höganäs,swe
1285,Eslöv,swe
1286,Ystad,swe
1287,Trelleborg,swe
1290,Kristianstad,swe
1291,Simrishamn,swe
1292,Ängelholm,swe
1293,Hässleholm,swe
1315,Hylte,swe
1380,Halmstad,swe
1381,Laholm,swe
1382,Falkenberg,swe
1383,Varberg,swe
1384,Kungsbacka,swe
1401,Härryda,swe
1402,Partille,swe
1407,Öckerö,swe
1415,Stenungsund,swe
1419,Tjörn,swe
1421,Orust,swe
1427,Sotenäs,swe
1430,Munkedal,swe
1435,Tanum,swe
1438,Dals-Ed,swe
1439,Färgelanda,swe
1440,Ale,swe
1441,Lerum,swe
1442,Vårgårda,swe
1443,Bollebygd,swe
1444,Grästorp,swe
1445,Essunga,swe
1446,Karlsborg,swe
1447,Gullspång,swe
1452,Tranemo,swe
1460,Bengtsfors,swe
1461,Mellerud,swe
1462,Lilla Edet,swe
1463,Mark,swe
1465,Svenljunga,swe
1466,Herrljunga,swe
1470,Vara,swe
1471,Götene,swe
1472,Tibro,swe
1473,Töreboda,swe
1480,Göteborg,swe
1481,Mölndal,swe
1482,Kungälv,swe
1484,Lysekil,swe
1485,Uddevalla,swe
1486,Strömstad,swe
1487,Vänersborg,swe
1488,Trollhättan,swe
1489,Alingsås,swe
1490,Borås,swe
1491,Ulricehamn,swe
1492,Åmål,swe
1493,Mariestad,swe
1494,Lidköping,swe
1495,Skara,swe
1496,Skövde,swe
1497,Hjo,swe
1498,Tidaholm,swe
1499,Falköping,swe
1715,Kil,swe
1730,Eda,swe
1737,Torsby,swe
1760,Storfors,swe
1761,Hammarö,swe
1762,Munkfors,swe
1763,Forshaga,swe
1764,Grums,swe
1765,Årjäng,swe
1766,Sunne,swe
1780,Karlstad,swe
1781,Kristinehamn,swe
1782,Filipstad,swe
1783,Hagfors,swe
1784,Arvika,swe
1785,Säffle,swe
1814,Lekeberg,swe
1860,Laxå,swe
1861,Hallsberg,swe
1862,Degerfors,swe
1863,Hällefors,swe
1864,Ljusnarsberg,swe
1880,Örebro,swe
1881,Kumla,swe
1882,Askersund,swe
1883,Karlskoga,swe
1884,Nora,swe
1885,Lindesberg,swe
1904,Skinnskatteberg,swe
1907,Surahammar,swe
1960,Kungsör,swe
1961,Hallstahammar,swe
1962,Norberg,swe
1980,Västerås,swe
1981,Sala,swe
1982,Fagersta,swe
1983,Köping,swe
1984,Arboga,swe
2021,Vansbro,swe
2023,Malung-Sälen,swe
2026,Gagnef,swe
2029,Leksand,swe
2031,Rättvik,swe
2034,Orsa,swe
2039,Älvdalen,swe
2061,Smedjebacken,swe
2062,Mora,swe
2080,Falun,swe
2081,Borlänge,swe
2082,Säter,swe
2083,Hedemora,swe
2084,Avesta,swe
2085,Ludvika,swe
2101,Ockelbo,swe
2104,Hofors,swe
2121,Ovanåker,swe
2132,Nordanstig,swe
2161,Ljusdal,swe
2180,Gävle,swe
2181,Sandviken,swe
2182,Söderhamn,swe
2183,Bollnäs,swe
2184,Hudiksvall,swe
2260,Ånge,swe
2262,Timrå,swe
2280,Härnösand,swe
2281,Sundsvall,swe
2282,Kramfors,swe
2283,Sollefteå,swe
2284,Örnsköldsvik,swe
2303,Ragunda,swe
2305,Bräcke,swe
2309,Krokom,swe
2313,Strömsund,swe
2321,Åre,swe
2326,Berg,swe
2361,Härjedalen,swe
2380,Östersund,swe
2401,Nordmaling,swe
2403,Bjurholm,swe
2404,Vindeln,swe
2409,Robertsfors,swe
2417,Norsjö,swe
2418,Malå,swe
2421,Storuman,swe
2422,Sorsele,swe
2425,Dorotea,swe
2460,Vännäs,swe
2462,Vilhelmina,swe
2463,Åsele,swe
2480,Umeå,swe
2481,Lycksele,swe
2482,Skellefteå,swe
2505,Arvidsjaur,swe
2506,Arjeplog,swe
2510,Jokkmokk,swe
2513,Överkalix,swe
2514,Kalix,swe
2518,Övertorneå,swe
2521,Pajala,swe
2523,Gällivare,swe
2560,Älvsbyn,swe
2580,Luleå,swe
2581,Piteå,swe
2582,Boden,swe
2583,Haparanda,swe
2584,Kiruna,swe
