municipality,name,country
0114,Upplands Väsby,swe
0115,Vallentuna,swe
0117,Österåker,swe
0120,Värmdö,swe
0123,Järfälla,swe
0125,Ekerö,swe
0126,Huddinge,swe
0127,Botkyrka,swe
0128,Salem,swe
0136,Haninge,swe
0138,Tyresö,swe
0139,Upplands-Bro,swe
0140,Nykvarn,swe
0160,Täby,swe
0162,Danderyd,swe
0163,Sollentuna,swe
0180,Stockholm,swe
0181,Södertälje,swe
0182,Nacka,swe
0183,Sundbyberg,swe
0184,Solna,swe
0186,Lidingö,swe
0187,Vaxholm,swe
0188,Norrtälje,swe
0191,Sigtuna,swe
0192,Nynäshamn,swe
0305,Håbo,swe
0319,Älvkarleby,swe
0330,Knivsta,swe
0331,Heby,swe
0360,Tierp,swe
0380,Uppsala,swe
0381,Enköping,swe
0382,Östhammar,swe
0428,Vingåker,swe
0461,Gnesta,swe
0480,Nyköping,swe
0481,Oxelösund,swe
0482,Flen,swe
0483,Katrineholm,swe
0484,Eskilstuna,swe
0486,Strängnäs,swe
0488,Trosa,swe
0509,Ödeshög,swe
0512,Ydre,swe
0513,Kinda,swe
0560,Boxholm,swe
0561,Åtvidaberg,swe
0562,Finspång,swe
0563,Valdemarsvik,swe
0580,Linköping,swe
0581,Norrköping,swe
0582,Söderköping,swe
0583,Motala,swe
0584,Vadstena,swe
0586,Mjölby,swe
0604,Aneby,swe
0617,Gnosjö,swe
0642,Mullsjö,swe
0643,Habo,swe
0662,Gislaved,swe
0665,Vaggeryd,swe
0680,Jönköping,swe
0682,Nässjö,swe
0683,Värnamo,swe
0684,Sävsjö,swe
0685,Vetlanda,swe
0686,Eksjö,swe
0687,Tranås,swe
0760,Uppvidinge,swe
0761,Lessebo,swe
0763,Tingsryd,swe
0764,Alvesta,swe
0765,Älmhult,swe
0767,Markaryd,swe
0780,Växjö,swe
0781,Ljungby,swe
0821,Högsby,swe
0834,Torsås,swe
0840,Mörbylånga,swe
0860,Hultsfred,swe
0861,Mönsterås,swe
0862,Emmaboda,swe
0880,Kalmar,swe
0881,Nybro,swe
0882,Oskarshamn,swe
0883,Västervik,swe
0884,Vimmerby,swe
0885,Borgholm,swe
0980,Gotland,swe
1060,Olofström,swe
1080,Karlskrona,swe
1081,Ronneby,swe
1082,Karlshamn,swe
1083,Sölvesborg,swe
1214,Svalöv,swe
1230,Staffanstorp,swe
1231,Burlöv,swe
1233,Vellinge,swe
1256,Östra Göinge,swe
1257,Örkelljunga,swe
1260,Bjuv,swe
1261,Kävlinge,swe
