name,a,b,nL,nR,p order,c 300K,c 77K
GR1,730,756,5,5,3,,0.04708
ND1,390,400,1,1,3,,0.01177
NV-,630,644,5,5,3,0.12282,0.02974
NV0,568,582,5,5,3,0.2173,0.0565
