country,synonym,synonym_type
afg,afghansk,denonym
ago,angolansk,denonym
alb,albansk,denonym
and,andorransk,denonym
are,emiratisk,denonym
arg,argentinsk,denonym
arm,armenisk,denonym
atg,antiguansk,denonym
atg,barbudansk,denonym
aus,australisk,denonym
aut,österrikisk,denonym
aze,azerbajdzjansk,denonym
aze,azerisk,denonym
bdi,burundisk,denonym
bel,belgisk,denonym
ben,beninsk,denonym
bfa,burkinsk,denonym
bgd,bangladeshisk,denonym
bgr,bulgarisk,denonym
bhr,bahrainsk,denonym
bhs,bahamansk,denonym
bih,bosnisk,denonym
blr,vitrysk,denonym
blz,belizisk,denonym
bol,boliviansk,denonym
bra,brasiliansk,denonym
brb,barbadisk,denonym
brn,bruneisk,denonym
btn,bhutanesisk,denonym
bwa,botswansk,denonym
caf,centralafrikansk,denonym
can,kanadensisk,denonym
chanisl,Normandiska öarna,name
che,schweizisk,denonym
chl,chilensk,denonym
chn,kinesisk,denonym
civ,ivoriansk,denonym
cmr,kamerunsk,denonym
cod,kongolesisk,denonym
cod,Kongo,name
col,colombiansk,denonym
com,komorisk,denonym
cpv,kapverdiansk,denonym
cri,costaricansk,denonym
cub,kubansk,denonym
cyp,cypriotisk,denonym
cyp_nor,Norra Cypern,name
cze,tjeckisk,denonym
deu,tysk,denonym
dji,djiboutisk,denonym
dma,dominikisk,denonym
dnk,dansk,denonym
dom,dominikansk,denonym
dza,algerisk,denonym
ecu,ecuadoriansk,denonym
egy,egyptisk,denonym
eri,eritreansk,denonym
esp,spansk,denonym
est,estländsk,denonym
est,estnisk,denonym
eth,etiopisk,denonym
fin,finsk,denonym
fji,fijiansk,denonym
fra,fransk,denonym
fsm,mikronesisk,denonym
gab,gabonesisk,denonym
gbr,brittisk,denonym
geo,georgisk,denonym
gha,ghanansk,denonym
gin,guineansk,denonym
gmb,gambisk,denonym
gnb,bissauguineansk,denonym
gnq,ekvatorialguineansk,denonym
grc,grekisk,denonym
grd,grenadisk,denonym
gtm,guatemalansk,denonym
guy,guyansk,denonym
hkg,Hong Kong,name
hnd,honduransk,denonym
hrv,kroatisk,denonym
hti,haitisk,denonym
hun,ungersk,denonym
idn,indonesisk,denonym
ind,indisk,denonym
irl,irländsk,denonym
irn,iransk,denonym
irq,irakisk,denonym
isl,isländsk,denonym
isr,israelisk,denonym
ita,italiensk,denonym
jam,jamaicansk,denonym
jor,jordansk,denonym
jpn,japansk,denonym
kaz,kazakisk,denonym
kaz,kazakstansk,denonym
ken,kenyansk,denonym
kgz,kirgizisk,denonym
kgz,kirgizistansk,denonym
khm,kambodjansk,denonym
kir,kiribatisk,denonym
kna,nevisiansk,denonym
kor,sydkoreansk,denonym
kwt,kuwaitisk,denonym
lao,laotisk,denonym
lbn,libanesisk,denonym
lbr,liberiansk,denonym
lby,libysk,denonym
lca,luciansk,denonym
lie,liechtensteinsk,denonym
lka,lankesisk,denonym
lso,lesothisk,denonym
ltu,litauisk,denonym
lux,luxemburgsk,denonym
lva,lettisk,denonym
lva,lettländsk,denonym
mac,Macau,name
mar,marockansk,denonym
mco,monegaskisk,denonym
mda,moldavisk,denonym
mdg,madagaskisk,denonym
mdv,maldivisk,denonym
mex,mexikansk,denonym
mhl,marshallesisk,denonym
mkd,makedonisk,denonym
mkd,makedonsk,denonym
mli,malisk,denonym
mlt,maltesisk,denonym
mmr,burmesisk,denonym
mmr,Myanmar,name
mne,montenegrinsk,denonym
mng,mongolisk,denonym
moz,moçambikisk,denonym
mrt,mauretansk,denonym
mus,mauritisk,denonym
mwi,malawisk,denonym
mys,malaysisk,denonym
nam,namibisk,denonym
ner,nigerisk,denonym
nga,nigeriansk,denonym
ngokar,Artsach,name
ngokar,Republiken Artsach,name
nic,nicaraguansk,denonym
nld,nederländsk,denonym
nor,norsk,denonym
npl,nepalesisk,denonym
nru,naurisk,denonym
nzl,nyzeeländsk,denonym
omn,omansk,denonym
otto,Ottomanska imperiet,name
otto,Ottomanska riket,name
pak,pakistansk,denonym
pan,panamansk,denonym
per,peruansk,denonym
phl,filippinsk,denonym
plw,palauisk,denonym
png,papuansk,denonym
pol,polsk,denonym
prk,nordkoreansk,denonym
prt,portugisisk,denonym
pry,paraguayansk,denonym
pse,palestinsk,denonym
qat,qatarisk,denonym
rou,rumänsk,denonym
rus,rysk,denonym
rwa,rwandisk,denonym
sau,saudisk,denonym
sdn,sudanesisk,denonym
sen,senegalesisk,denonym
sgp,singaporiansk,denonym
shn,Sankt Helena,name
slb,salomonsk,denonym
sle,sierraleonsk,denonym
slv,salvadoransk,denonym
smr,sanmarinsk,denonym
som,somalisk,denonym
srb,serbisk,denonym
ssd,sydsudanesisk,denonym
stp,tomeansk,denonym
sur,surinamesisk,denonym
svk,slovakisk,denonym
svn,slovensk,denonym
swe,svensk,denonym
swz,swaziländsk,denonym
syc,seychellisk,denonym
syr,syrisk,denonym
tcd,tchadisk,denonym
tgo,togolesisk,denonym
tha,thailändsk,denonym
tjk,tadzjikisk,denonym
tjk,tadzjikistansk,denonym
tkl,Tokelauöarna,name
tkm,turkmenisk,denonym
tkm,turkmenistansk,denonym
tls,östtimoriansk,denonym
ton,tongansk,denonym
tto,tobagisk,denonym
tto,trinidadisk,denonym
tun,tunisisk,denonym
tur,turkisk,denonym
tuv,tuvaluansk,denonym
tza,tanzanisk,denonym
uga,ugandisk,denonym
ukr,ukrainsk,denonym
ury,uruguayansk,denonym
usa,amerikansk,denonym
uzb,uzbekisk,denonym
uzb,uzbekistansk,denonym
vct,grenadinsk,denonym
ven,venezuelansk,denonym
vnm,vietnamesisk,denonym
vut,vanuatisk,denonym
wsm,samoansk,denonym
yem,jemenitisk,denonym
yem_south,Södra Jemen,name
zaf,sydafrikansk,denonym
zmb,zambisk,denonym
zwe,zimbabwisk,denonym
