media_org,name
ab,Aftonbladet
dn,Dagens Nyheter
exp,Expressen
gp,GöteborgsPosten
kvp,Kvällsposten
svd,Svenska Dagbladet
sr,Sveriges Radio
svt,Sveriges Television
syd,Sydsvenskan
