party,abbr,name,country,slug
c_swe,c,Centre Party,swe,centre-party-swe
kd_swe,kd,Christian Democrats,swe,christian-democrats-swe
l_swe,l,Liberals,swe,liberals-swe
mp_swe,mp,Green Party,swe,green-party-swe
m_swe,m,Moderate Party,swe,moderate-party-swe
s_swe,s,Social Democratic Party,swe,social-democratic-party-swe
sd_swe,sd,Sweden Democrats,swe,sweden-democrats-swe
v_swe,v,Left Party,swe,left-party-swe
nyd_swe,nyd,New Democracy,swe,new-democracy-swe
fi_swe,fi,Feminist Initiative,swe,fi-swe
pp_swe,pp,Piratpartiet,swe,pp-swe
jl_swe,jl,Junilistan,swe,jl-swe
c_gbr,cgbr,Conservative Party,gbr,conservative-party-gbr
coop_gbr,coop,Co-operative Party,gbr,co-operative-party-gbr
dup_gbr,dup,Democratic Unionist Party,gbr,democratic-unionist-party-gbr
green_gbr,green,Green Party,gbr,green-party-gbr
lab_gbr,lab,Labour Party,gbr,labour-party-gbr
ld_gbr,ld,Liberal Democrats,gbr,liberal-democrats-gbr
pc_gbr,pc,Plaid Cymru,gbr,plaid-cymru-gbr
snp_gbr,snp,Scottish National Party,gbr,scottish-national-party-gbr
sf_gbr,sf,Sinn Féin,gbr,sinn-fein-gbr
oth,oth,Other parties,,other
dk,dk,Dont know,,dk
np,np,No party,,np
